state_id,State,Year,GunRights,AlcoholFreedom,CannabisFreedom,TravelFreedom,GamingFreedom,Malumprohibitum,EducationalFreedom,TobaccoFreedom,AssetForfeiture,IncarcerationandArrests,MarriageFreedom,CampaignFinanceFreedom,PERSONALFREEDOM,abortionfreedom
1,Alabama,2000,-.0202051936430549,-.0257339538892579,-.015490098890375,.0011729328326722,-.0137181969296042,-.0038787339163526,-.0079203698956417,.0200520673476278,-.0075514258698488,-.0360753204604947,-.0115308306181481,.000861447105108,-.1200176768273698,-.0426101304016279
2,Alaska,2000,.0106526945273769,.0017872130894367,.0473440664964036,.0067173453066899,-.015014102541283,-.0015325256960237,-.00567636900803,-.0129349275738736,-.0120063180696759,.0359683721793082,.0034499207946177,-.000279345407379,.0584760240975677,-.1926175487163798
3,Arizona,2000,.0181505163848162,.0138544794783347,-.0070509245221847,.0047858681529775,-.0141474140748736,-.003921119109448,.0309362290484533,.0162519007518507,-.0086269134681816,-.0543832630933605,-.0116381349044654,-.0004405904484682,-.0162293658045496,-.1267074403878337
4,Arkansas,2000,.0076244414982254,-.0017208836429727,-.0104682887575239,.0051099651906776,-.0141474140748736,-.0042006467753047,-.0037495595907725,.0215677502397438,-.0039987159144016,-.0234074262169233,-.0168960449340158,-.0002271214256471,-.0445139444037884,-.0675319166360116
5,California,2000,-.0419527981388573,.0164136713962615,.0309972184997764,-.0033338471926567,-.0137181969296042,.0253407597692945,-.0050932775161815,.0035910408341185,.0106208472984849,-.036034999344416,.0156504181489009,.0002413772130324,.0027222140381534,-.1855840078583978
6,Colorado,2000,-.0281067392218483,-.0037342668446798,.0176025665905936,.0006031851653487,-.0066496403160701,-.003102745085801,.0001453713939749,.0238746283193956,-.0048167916959946,-.0123170252711304,.0035786859381985,.0000778919182357,-.0128448791097773,-.0988370039432863
7,Connecticut,2000,-.0367935021336773,-.0031087423304582,-.0096417644668548,.0012952978120956,-.0137181969296042,-.0022024621235984,-.0042406376571038,.0171547865085402,.0219630739168409,.0045152439353056,.0031494687929291,-.0006886803598366,-.0223161150354219,-.1853230853895399
8,Delaware,2000,-.0268560616413381,-.0091665014958728,-.0091603165724943,.0051099651906776,.0082846375526798,-.0053192939601631,-.0035402089281673,.0230722359438645,-.0082151781466365,-.0191913665901631,-.0018294500921961,.0002902474412437,-.0465212912985657,-.0677956436233923
10,Florida,2000,.0040058560902361,.0033921838939859,-.0104682887575239,.0047858681529775,-.0131563433395289,.010778137392212,.0063624744389161,.0210863148144252,-.0049123304700367,-.0582198620552981,-.0116595957617289,-.0003382706009194,-.0483438562022832,-.0915397360979236
11,Georgia,2000,.0152804659084257,-.0097942768774432,-.0113631534895238,-.0033338471926567,-.0154433196865525,-.0053192939601631,-.002510516996666,.0259697111171692,-.0177661831474422,-.0459889676046424,.0031494687929291,-.0001075911075029,-.0672275042440686,-.0668788723323978
12,Hawaii,2000,-.076922626747529,.0086664886933403,.0109463690172134,.0000698447693298,-.0155052260055817,-.0036811151890515,-.0061435182185126,.0074758313115886,-.0139937184785276,.0493209278438031,.0156504181489009,.0016895012573374,-.022426823597689,-.1926175487163798
13,Idaho,2000,.0141899302482422,-.0232510387018335,-.0083121587207271,.0067173453066899,-.0141474140748736,-.0031753543195424,.0004790877244218,.0214285960244356,.0012467325947961,-.029713507811742,-.0168960449340158,.0005210646226974,-.0509127620414514,.4245141826229485
14,Illinois,2000,-.1097358846309433,.010784238216764,-.0104682887575239,.0041098511491782,-.0072090785357854,-.0039368570714412,.0147679947511565,.0087296665654644,-.0081095420233813,-.0515270938292264,.0008531570657377,.0008651052057779,-.1508767318942227,-.1853202808710171
15,Indiana,2000,.0145851848788437,.0028841155410189,-.006356788451044,.0023232347819943,.0022524632099078,-.0043249409069556,.0020285616188444,.024777319741868,.0094794209644145,.007606665465426,.0008960787802647,.0008577890044381,.0570091046290208,-.0432631747052418
16,Iowa,2000,-.0291693055447004,-.0011825578065292,-.0107492862693803,.0042547119357066,.0047613105554111,-.0045002045746073,.0146722256756183,.0199631598228989,.0022505887329792,.0133248087236004,-.00191529352125,.0008577890044381,.0125679467341853,-.0677956436233923
17,Kansas,2000,-.0558146309001051,-.0100071910479652,-.0060855402330966,.0041098511491782,-.0145766312201431,-.0034167889637564,-.0128324382103912,.0227212864466783,-.0121133360787555,.0182400824408072,-.0170248100775966,-.0003390162526114,-.0871391629477575,-.0089190761528282
18,Kentucky,2000,.0146422037171978,-.0045159233531461,-.0078990512676974,.0047858681529775,-.0141474140748736,-.0043249409069556,-.0014602762943349,.0277750939621141,-.0106020562764097,-.0016029604169958,-.0017865283776692,-.0007257837645556,.0001382310996517,.4722660945593917
19,Louisiana,2000,.0100557190028167,.0150507993163735,-.0125776808078335,.0023232347819943,.058339377554797,-.0035568210574006,-.0169754030529611,.0230722359438645,.0062985739235039,-.0716168617052017,-.0144495072059801,-.0002562998836689,-.0042926331896959,.0499927206116131
20,Maine,2000,.0212149221368895,-.0131885867262632,.0190284927590148,.0034338341453789,.0078311498645861,-.0036653772270583,-.0109093844431548,.0131816797992519,.0165721636847015,.1010294530416061,.0007673136366839,-.0002049098916883,.155090750779948,-.0918034630853043
21,Maryland,2000,-.0355942665514903,.0089750963276684,-.0087472091194646,.0004969158288729,-.0028048976279804,-.003102745085801,-.0253920830109786,.0107866715317397,.0010816403908704,-.0490320465247494,.0034928425091447,-.0007743232844366,-.1006144046166047,-.1615761883964859
